Date,Close
2018-10-14 12-PM,197.38
2018-10-14 11-AM,197.33
2018-10-14 10-AM,197.59
2018-10-14 09-AM,198.5
2018-10-14 08-AM,198.15
2018-10-14 07-AM,197.85
2018-10-14 06-AM,197.98
2018-10-14 05-AM,198.71
2018-10-14 04-AM,197.39
2018-10-14 03-AM,196.63
2018-10-14 02-AM,196.54
2018-10-14 01-AM,195.92
2018-10-14 12-AM,196.72
2018-10-13 11-PM,196.77
2018-10-13 10-PM,196.61
2018-10-13 09-PM,196.71
2018-10-13 08-PM,196.93
2018-10-13 07-PM,196.23
2018-10-13 06-PM,196.92
2018-10-13 05-PM,197.5
2018-10-13 04-PM,197.34
2018-10-13 03-PM,198.0
2018-10-13 02-PM,196.67
2018-10-13 01-PM,197.02
2018-10-13 12-PM,198.08
2018-10-13 11-AM,197.77
2018-10-13 10-AM,197.38
2018-10-13 09-AM,196.75
2018-10-13 08-AM,196.62
2018-10-13 07-AM,196.34
2018-10-13 06-AM,196.3
2018-10-13 05-AM,196.45
2018-10-13 04-AM,195.53
2018-10-13 03-AM,196.39
2018-10-13 02-AM,196.3
2018-10-13 01-AM,196.01
2018-10-13 12-AM,194.1
2018-10-12 11-PM,193.92
2018-10-12 10-PM,194.73
2018-10-12 09-PM,195.79
2018-10-12 08-PM,195.36
2018-10-12 07-PM,193.89
2018-10-12 06-PM,193.95
2018-10-12 05-PM,196.01
2018-10-12 04-PM,196.3
2018-10-12 03-PM,194.64
2018-10-12 02-PM,195.45
2018-10-12 01-PM,195.17
2018-10-12 12-PM,194.35
2018-10-12 11-AM,194.75
2018-10-12 10-AM,193.48
2018-10-12 09-AM,195.82
2018-10-12 08-AM,195.89
2018-10-12 07-AM,195.35
2018-10-12 06-AM,192.82
2018-10-12 05-AM,193.68
2018-10-12 04-AM,193.55
2018-10-12 03-AM,192.44
2018-10-12 02-AM,191.64
2018-10-12 01-AM,189.93
2018-10-12 12-AM,188.32
2018-10-11 11-PM,196.34
2018-10-11 10-PM,197.08
2018-10-11 09-PM,197.9
2018-10-11 08-PM,198.76
2018-10-11 07-PM,197.96
2018-10-11 06-PM,199.79
2018-10-11 05-PM,198.76
2018-10-11 04-PM,197.9
2018-10-11 03-PM,199.33
2018-10-11 02-PM,198.87
2018-10-11 01-PM,197.06
2018-10-11 12-PM,195.58
2018-10-11 11-AM,198.02
2018-10-11 10-AM,197.55
2018-10-11 09-AM,198.47
2018-10-11 08-AM,197.28
2018-10-11 07-AM,196.83
2018-10-11 06-AM,200.38
2018-10-11 05-AM,201.65
2018-10-11 04-AM,201.22
2018-10-11 03-AM,200.26
2018-10-11 02-AM,202.24
2018-10-11 01-AM,217.19
2018-10-11 12-AM,223.61
2018-10-10 11-PM,222.76
2018-10-10 10-PM,222.99
2018-10-10 09-PM,223.35
2018-10-10 08-PM,223.37
2018-10-10 07-PM,224.35
2018-10-10 06-PM,223.59
2018-10-10 05-PM,222.8
2018-10-10 04-PM,221.94
2018-10-10 03-PM,223.06
2018-10-10 02-PM,223.77
2018-10-10 01-PM,223.8
2018-10-10 12-PM,222.96
2018-10-10 11-AM,222.95
2018-10-10 10-AM,222.78
2018-10-10 09-AM,222.68
2018-10-10 08-AM,222.8
2018-10-10 07-AM,223.09
2018-10-10 06-AM,222.19
2018-10-10 05-AM,222.99
2018-10-10 04-AM,223.95
2018-10-10 03-AM,225.03
2018-10-10 02-AM,225.08
2018-10-10 01-AM,225.91
2018-10-10 12-AM,226.15
2018-10-09 11-PM,226.36
2018-10-09 10-PM,225.91
2018-10-09 09-PM,225.97
2018-10-09 08-PM,226.33
2018-10-09 07-PM,226.61
2018-10-09 06-PM,225.99
2018-10-09 05-PM,225.74
2018-10-09 04-PM,226.44
2018-10-09 03-PM,226.02
2018-10-09 02-PM,225.07
2018-10-09 01-PM,225.78
2018-10-09 12-PM,226.12
2018-10-09 11-AM,227.06
2018-10-09 10-AM,227.18
2018-10-09 09-AM,227.46
2018-10-09 08-AM,228.2
2018-10-09 07-AM,227.71
2018-10-09 06-AM,228.24
2018-10-09 05-AM,228.09
2018-10-09 04-AM,227.92
2018-10-09 03-AM,227.31
2018-10-09 02-AM,226.96
2018-10-09 01-AM,228.14
2018-10-09 12-AM,227.68
2018-10-08 11-PM,227.71
2018-10-08 10-PM,229.06
2018-10-08 09-PM,228.9
2018-10-08 08-PM,229.39
2018-10-08 07-PM,227.37
2018-10-08 06-PM,227.93
2018-10-08 05-PM,227.3
2018-10-08 04-PM,227.62
2018-10-08 03-PM,227.49
2018-10-08 02-PM,227.48
2018-10-08 01-PM,227.4
2018-10-08 12-PM,224.31
2018-10-08 11-AM,224.0
2018-10-08 10-AM,223.22
2018-10-08 09-AM,223.2
2018-10-08 08-AM,223.09
2018-10-08 07-AM,223.07
2018-10-08 06-AM,223.1
2018-10-08 05-AM,223.8
2018-10-08 04-AM,223.7
2018-10-08 03-AM,223.92
2018-10-08 02-AM,224.12
2018-10-08 01-AM,224.57
2018-10-08 12-AM,224.82
2018-10-07 11-PM,222.79
2018-10-07 10-PM,223.22
2018-10-07 09-PM,223.01
2018-10-07 08-PM,222.34
2018-10-07 07-PM,223.1
2018-10-07 06-PM,222.91
2018-10-07 05-PM,221.8
2018-10-07 04-PM,221.79
2018-10-07 03-PM,221.67
2018-10-07 02-PM,221.83
2018-10-07 01-PM,221.59
2018-10-07 12-PM,221.13
2018-10-07 11-AM,220.85
2018-10-07 10-AM,221.87
2018-10-07 09-AM,221.72
2018-10-07 08-AM,222.66
2018-10-07 07-AM,223.38
2018-10-07 06-AM,223.87
2018-10-07 05-AM,224.2
2018-10-07 04-AM,224.48
2018-10-07 03-AM,224.61
2018-10-07 02-AM,224.01
2018-10-07 01-AM,223.79
2018-10-07 12-AM,223.85
2018-10-06 11-PM,223.68
2018-10-06 10-PM,224.0
2018-10-06 09-PM,223.65
2018-10-06 08-PM,222.94
2018-10-06 07-PM,223.17
2018-10-06 06-PM,223.72
2018-10-06 05-PM,223.3
2018-10-06 04-PM,223.9
2018-10-06 03-PM,223.35
2018-10-06 02-PM,223.36
2018-10-06 01-PM,224.41
2018-10-06 12-PM,224.45
2018-10-06 11-AM,226.03
2018-10-06 10-AM,225.51
2018-10-06 09-AM,225.59
2018-10-06 08-AM,226.25
2018-10-06 07-AM,226.26
2018-10-06 06-AM,225.99
2018-10-06 05-AM,225.99
2018-10-06 04-AM,225.33
2018-10-06 03-AM,225.21
2018-10-06 02-AM,225.3
