,BTCPrice,bought,sold
1,6448.51,0.0,0.0
2,6450.82,6450.82,0.0
3,6440.01,6440.01,0.0
4,6450.0,0.0,0.0
5,6431.55,6431.55,0.0
6,6477.99,6477.99,0.0
7,6467.11,6467.11,0.0
8,6470.7,6470.7,0.0
9,6447.79,6447.79,0.0
10,6683.44,0.0,6683.44
11,6712.99,0.0,0.0
12,6717.49,0.0,0.0
13,6747.48,0.0,6747.48
14,6736.01,0.0,0.0
15,6734.93,6734.93,0.0
16,6728.36,6728.36,0.0
17,6739.5,0.0,0.0
18,6717.51,0.0,0.0
19,6728.01,0.0,6728.01
20,6748.34,0.0,0.0
21,6911.9,6911.9,0.0
22,6903.0,6903.0,0.0
23,6910.79,0.0,6910.79
24,6878.31,0.0,0.0
25,6881.18,0.0,0.0
26,6898.08,6898.08,0.0
27,6905.0,6905.0,0.0
28,6910.01,6910.01,0.0
29,6923.78,6923.78,0.0
30,6913.99,6913.99,0.0
31,6920.0,6920.0,0.0
32,6921.0,6921.0,0.0
33,7033.33,0.0,7033.33
34,7039.99,0.0,7039.99
35,7081.76,0.0,7081.76
36,7055.66,7055.66,0.0
37,7045.99,7045.99,0.0
38,7020.0,7020.0,0.0
39,7052.5,7052.5,0.0
40,7063.09,7063.09,0.0
41,7095.71,7095.71,0.0
42,7084.07,7084.07,0.0
43,7066.01,0.0,0.0
44,7079.0,0.0,7079.0
45,7071.01,7071.01,0.0
46,7068.99,7068.99,0.0
47,7062.95,0.0,0.0
48,7029.96,7029.96,0.0
49,7037.4,7037.4,0.0
50,7041.15,7041.15,0.0
51,7055.41,7055.41,0.0
52,7045.01,0.0,0.0
53,7055.7,0.0,0.0
54,7066.05,0.0,0.0
55,7104.99,0.0,0.0
56,7086.48,0.0,0.0
57,7081.23,7081.23,0.0
58,7092.83,0.0,0.0
59,7095.71,0.0,7095.71
60,7078.01,0.0,0.0
61,6973.0,0.0,0.0
62,6991.17,0.0,0.0
63,7021.0,0.0,0.0
64,7010.01,7010.01,0.0
65,7000.01,7000.01,0.0
66,7039.0,7039.0,0.0
67,7057.78,7057.78,0.0
68,7054.39,0.0,0.0
69,7030.9,0.0,0.0
70,7048.01,7048.01,0.0
71,7040.0,0.0,0.0
72,7005.46,7005.46,0.0
73,7019.0,0.0,7019.0
74,7015.0,0.0,7015.0
75,6963.03,6963.03,0.0
76,6976.12,6976.12,0.0
77,6969.15,6969.15,0.0
78,6939.16,0.0,6939.16
79,6916.07,6916.07,0.0
80,6921.57,0.0,0.0
81,6870.0,0.0,0.0
82,6829.01,6829.01,0.0
83,6837.93,0.0,0.0
84,6864.99,0.0,6864.99
85,6861.18,0.0,6861.18
86,6853.36,0.0,6853.36
87,6860.0,6860.0,0.0
88,6817.48,0.0,6817.48
89,6819.0,0.0,0.0
90,6917.0,6917.0,0.0
91,6940.01,0.0,0.0
92,6935.0,6935.0,0.0
93,6983.0,0.0,6983.0
94,6945.0,0.0,0.0
95,6938.62,0.0,0.0
96,6947.5,0.0,6947.5
97,6965.41,0.0,6965.41
98,7002.43,0.0,7002.43
99,6993.09,0.0,6993.09
100,6991.54,0.0,6991.54
101,6958.27,6958.27,0.0
102,6951.26,0.0,0.0
103,6952.71,0.0,0.0
104,6945.0,6945.0,0.0
105,6965.0,0.0,0.0
106,6902.09,0.0,0.0
107,6934.08,0.0,6934.08
108,6943.17,0.0,0.0
109,6955.0,6955.0,0.0
110,6986.01,6986.01,0.0
111,7045.0,0.0,0.0
112,7049.02,7049.02,0.0
113,7044.18,7044.18,0.0
114,7044.51,0.0,0.0
115,7027.34,7027.34,0.0
116,7018.0,7018.0,0.0
117,7015.01,7015.01,0.0
118,7041.99,0.0,0.0
119,7029.0,0.0,0.0
120,7045.65,7045.65,0.0
121,7060.0,0.0,7060.0
122,7045.51,7045.51,0.0
123,7045.0,0.0,7045.0
124,7050.0,0.0,7050.0
125,7049.39,0.0,0.0
126,7054.99,0.0,0.0
127,7060.0,7060.0,0.0
128,7081.44,0.0,0.0
129,7059.23,0.0,0.0
130,7037.0,0.0,0.0
131,7053.75,0.0,0.0
132,7120.68,0.0,0.0
133,7173.95,0.0,7173.95
134,7190.56,0.0,0.0
135,7195.01,0.0,7195.01
136,7195.01,0.0,7195.01
137,7255.82,0.0,7255.82
138,7195.97,0.0,7195.97
139,7183.54,0.0,7183.54
140,7191.48,7191.48,0.0
141,7191.08,0.0,0.0
142,7156.65,0.0,7156.65
143,7142.29,0.0,0.0
144,7163.63,0.0,0.0
145,7176.01,0.0,0.0
146,7201.29,0.0,0.0
147,7233.22,0.0,0.0
148,7207.15,0.0,0.0
149,7222.99,7222.99,0.0
150,7272.4,0.0,0.0
151,7282.23,0.0,0.0
152,7274.99,0.0,0.0
153,7235.0,0.0,0.0
154,7249.88,0.0,0.0
155,7192.87,0.0,0.0
156,7229.99,0.0,0.0
157,7217.97,0.0,0.0
158,7275.0,7275.0,0.0
159,7286.72,7286.72,0.0
160,7308.0,0.0,0.0
161,7299.99,0.0,0.0
162,7278.8,0.0,0.0
163,7285.0,0.0,0.0
164,7278.32,0.0,0.0
165,7295.0,7295.0,0.0
166,7283.23,7283.23,0.0
167,7262.51,0.0,0.0
