,percentChange
0,-0.25
1,-0.29
2,-0.06
3,-0.05
4,-0.04
5,-0.27
6,-0.26
7,-0.51
8,-0.37
9,-0.99
10,-0.9
11,-0.1
12,-0.99
13,-0.11
14,-0.11
15,-0.48
16,-0.2
17,-0.48
18,-0.15
19,-0.11
20,-0.0
21,-0.12
22,-0.19
23,-0.43
24,-0.1
25,-0.72
26,-0.2
27,-0.04
28,-2.41
29,-0.4
30,-0.03
31,-0.29
32,-0.37
33,-0.12
34,-0.0
35,-0.06
36,-0.17
37,-0.94
38,-0.96
39,-0.07
40,-0.45
41,-0.47
42,-0.45
43,-0.0
44,0.02
45,-1.48
46,-0.02
47,-0.03
48,-0.16
49,-0.12
50,-1.29
51,-0.43
52,-0.57
53,-0.17
54,-0.25
55,-0.9
56,-0.47
57,-4.01
58,-0.4
59,-0.56
60,-0.06
61,-0.18
62,-0.29
63,-0.55
64,-0.19
65,-0.51
66,-0.29
67,-0.17
68,-0.1
69,-0.47
70,-1.76
71,-0.32
72,-1.96
73,-0.37
74,-0.04
75,-0.2
76,-0.51
77,-0.76
78,-0.3
79,-0.32
80,-0.23
81,-0.05
82,-0.34
83,-0.41
84,-0.07
85,-0.17
86,-0.12
87,-0.37
88,-0.09
89,-0.17
90,-0.07
91,-0.58
92,-0.03
93,-0.08
94,-0.51
95,-0.61
96,-0.58
97,-1.31
98,-0.07
99,-0.39
100,-0.08
101,-0.17
102,-0.34
103,-0.14
104,-0.35
105,-0.16
106,-0.21
107,-0.37
108,-0.31
109,-0.01
110,-0.47
111,-0.15
112,-0.58
113,-0.13
114,-0.15
115,-0.21
116,-0.11
117,-0.02
118,-0.27
119,-0.08
120,-0.16
121,-0.43
122,-0.42
123,-0.37
124,-0.29
125,-0.19
126,-0.14
127,-0.4
128,-0.06
129,-0.07
130,-0.29
131,-0.29
132,-0.42
133,-0.28
134,-0.94
135,-0.04
136,-0.07
137,-0.74
138,-0.06
139,-0.34
140,-0.23
141,-0.26
142,-0.37
143,-0.11
144,-0.17
145,-0.14
146,-0.01
147,-0.04
148,-0.27
149,-0.2
150,-0.03
151,-3.59
152,-0.06
153,-0.21
154,-0.24
155,-0.07
156,-0.47
157,-0.0
158,-0.54
159,-0.18
160,-0.01
161,-0.23
162,-0.07
163,-0.17
164,-0.54
165,-0.38
166,-0.78
167,-0.14
168,-0.17
169,-0.62
170,-0.05
171,-0.29
172,-0.17
173,-0.49
174,-0.03
175,-0.2
176,-0.17
177,-0.69
178,-0.15
179,-0.26
180,-0.26
181,-0.14
182,-0.15
183,-0.21
184,-0.27
185,-0.48
186,-0.14
187,-0.13
188,-0.09
189,-0.48
190,-0.16
191,-2.56
192,-0.2
193,-0.21
194,-0.09
195,-0.37
196,-0.14
197,-0.1
198,-0.37
199,-0.68
200,-1.84
201,-0.02
202,-0.09
203,-0.11
204,-0.49
205,-0.31
206,-0.17
207,-0.24
208,-0.49
209,-0.28
210,-0.2
211,-0.9
212,-0.39
213,-0.76
214,-0.09
215,-0.27
216,-0.55
217,-0.14
218,-0.12
219,-0.51
220,-0.26
221,-0.2
222,-0.62
223,-0.16
224,-1.59
225,-0.2
226,-0.12
227,-0.07
228,-0.46
229,-0.12
230,-0.24
231,-0.31
232,-0.31
233,-0.03
234,-0.12
235,-3.05
236,-0.21
237,-0.11
238,-0.08
239,-0.14
240,-0.54
241,-0.29
242,-0.17
243,-0.17
244,-0.06
245,-4.01
246,-0.99
247,-0.5
248,-0.41
249,-0.25
250,-0.14
251,-0.2
252,-0.25
253,-1.96
254,-0.07
255,-0.09
