,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
0,-1.0,0.0,0.0,1.0,0.0,1.0
1,-2.0,-33.0,0.0,2.0,0.0,7.0
2,0.0,-39.0,0.0,0.0,4.0,71.0
3,-2.0,138.0,0.0,2.0,2.0,7.0
4,-1.0,17.0,0.0,1.0,0.0,24.0
5,-1.0,0.0,0.0,1.0,1.0,2.0
6,0.0,18.0,0.0,0.0,1.0,14.0
7,-1.0,22.0,0.0,1.0,0.0,20.0
8,-1.0,-56.0,0.0,1.0,1.0,9.0
9,1.0,0.0,1.0,0.0,0.0,2.0
10,-1.0,-42.0,0.0,1.0,0.0,33.0
11,0.0,-3.0,1.0,1.0,1.0,24.0
12,0.0,-18.0,0.0,0.0,1.0,10.0
13,1.0,-7.0,1.0,0.0,2.0,20.0
14,0.0,0.0,0.0,0.0,1.0,2.0
15,-1.0,24.0,1.0,2.0,7.0,71.0
16,-1.0,-3.0,1.0,2.0,2.0,12.0
17,1.0,-25.0,1.0,0.0,0.0,4.0
18,0.0,47.0,0.0,0.0,4.0,31.0
19,0.0,-54.0,0.0,0.0,2.0,11.0
20,0.0,23.0,0.0,0.0,2.0,48.0
21,1.0,22.0,1.0,0.0,0.0,10.0
22,0.0,0.0,0.0,0.0,1.0,1.0
23,0.0,0.0,0.0,0.0,2.0,3.0
24,1.0,-62.0,2.0,1.0,2.0,13.0
25,1.0,-3.0,2.0,1.0,2.0,21.0
26,2.0,-58.0,2.0,0.0,1.0,46.0
27,-1.0,62.0,0.0,1.0,4.0,71.0
28,0.0,-28.0,0.0,0.0,4.0,13.0
29,1.0,-17.0,4.0,3.0,4.0,59.0
30,0.0,0.0,0.0,0.0,1.0,1.0
31,1.0,-7.0,1.0,0.0,2.0,71.0
32,0.0,4.0,0.0,0.0,1.0,71.0
33,-1.0,0.0,0.0,1.0,0.0,2.0
34,0.0,50.0,1.0,1.0,1.0,19.0
35,-1.0,14.0,0.0,1.0,2.0,42.0
36,0.0,0.0,0.0,0.0,1.0,1.0
37,-2.0,-61.0,0.0,2.0,2.0,59.0
38,-1.0,-53.0,1.0,2.0,1.0,11.0
39,-1.0,13.0,0.0,1.0,1.0,5.0
40,0.0,0.0,0.0,0.0,1.0,2.0
41,1.0,-11.0,2.0,1.0,0.0,23.0
42,2.0,-49.0,2.0,0.0,0.0,3.0
43,0.0,78.0,1.0,1.0,4.0,22.0
44,-1.0,-12.0,0.0,1.0,1.0,71.0
45,-2.0,72.0,1.0,3.0,3.0,71.0
46,-3.0,93.0,1.0,4.0,2.0,21.0
47,0.0,-15.0,0.0,0.0,1.0,9.0
48,1.0,18.0,1.0,0.0,0.0,13.0
49,-1.0,-14.0,0.0,1.0,1.0,5.0
50,1.0,34.0,1.0,0.0,2.0,14.0
51,1.0,0.0,1.0,0.0,0.0,1.0
52,1.0,-22.0,1.0,0.0,1.0,3.0
53,0.0,12.0,0.0,0.0,1.0,13.0
54,1.0,0.0,1.0,0.0,0.0,2.0
55,0.0,0.0,0.0,0.0,1.0,5.0
56,1.0,0.0,1.0,0.0,0.0,2.0
57,-1.0,20.0,0.0,1.0,0.0,21.0
58,1.0,50.0,2.0,1.0,5.0,69.0
59,1.0,-11.0,2.0,1.0,1.0,67.0
60,1.0,-1.0,1.0,0.0,3.0,15.0
61,1.0,-17.0,2.0,1.0,2.0,71.0
62,-1.0,-66.0,0.0,1.0,7.0,44.0
63,2.0,102.0,2.0,0.0,0.0,5.0
64,-1.0,-16.0,0.0,1.0,2.0,71.0
65,1.0,-20.0,1.0,0.0,1.0,8.0
66,1.0,-25.0,1.0,0.0,0.0,5.0
67,1.0,26.0,4.0,3.0,2.0,71.0
68,2.0,35.0,5.0,3.0,2.0,71.0
69,-1.0,-5.0,0.0,1.0,3.0,19.0
70,2.0,-11.0,3.0,1.0,2.0,39.0
71,0.0,-8.0,2.0,2.0,2.0,13.0
72,0.0,-33.0,1.0,1.0,3.0,63.0
73,-1.0,29.0,0.0,1.0,2.0,57.0
74,0.0,0.0,0.0,0.0,1.0,8.0
75,-1.0,-13.0,1.0,2.0,0.0,31.0
76,1.0,24.0,1.0,0.0,1.0,12.0
77,0.0,0.0,0.0,0.0,1.0,1.0
78,2.0,60.0,2.0,0.0,3.0,39.0
79,-1.0,0.0,0.0,1.0,0.0,1.0
80,2.0,-28.0,2.0,0.0,0.0,8.0
81,2.0,-25.0,2.0,0.0,2.0,35.0
82,-1.0,-3.0,0.0,1.0,0.0,21.0
83,0.0,-4.0,1.0,1.0,1.0,35.0
84,1.0,0.0,1.0,0.0,0.0,3.0
85,3.0,30.0,4.0,1.0,4.0,71.0
86,-4.0,-5.0,0.0,4.0,4.0,43.0
87,-1.0,0.0,0.0,1.0,0.0,1.0
88,-1.0,0.0,0.0,1.0,0.0,2.0
89,1.0,-13.0,1.0,0.0,1.0,15.0
90,0.0,-2.0,1.0,1.0,2.0,8.0
91,-1.0,-39.0,0.0,1.0,3.0,10.0
92,0.0,24.0,1.0,1.0,1.0,6.0
93,1.0,-10.0,2.0,1.0,2.0,71.0
94,1.0,2.0,1.0,0.0,2.0,27.0
95,1.0,0.0,1.0,0.0,0.0,1.0
96,0.0,-44.0,1.0,1.0,0.0,46.0
97,0.0,0.0,0.0,0.0,1.0,2.0
98,-1.0,39.0,0.0,1.0,0.0,16.0
99,0.0,6.0,0.0,0.0,2.0,27.0
100,1.0,-48.0,2.0,1.0,5.0,48.0
101,-1.0,0.0,0.0,1.0,1.0,3.0
102,-1.0,25.0,0.0,1.0,0.0,10.0
103,2.0,-86.0,2.0,0.0,2.0,71.0
104,-1.0,23.0,0.0,1.0,0.0,32.0
105,-2.0,-11.0,0.0,2.0,3.0,52.0
106,0.0,-44.0,0.0,0.0,1.0,2.0
107,0.0,75.0,0.0,0.0,1.0,27.0
108,-1.0,-83.0,0.0,1.0,2.0,8.0
109,0.0,12.0,0.0,0.0,1.0,11.0
110,1.0,-8.0,1.0,0.0,0.0,10.0
111,1.0,8.0,1.0,0.0,0.0,7.0
112,-1.0,18.0,0.0,1.0,0.0,14.0
113,-1.0,-50.0,0.0,1.0,1.0,11.0
114,-3.0,21.0,0.0,3.0,0.0,71.0
115,0.0,-12.0,1.0,1.0,1.0,13.0
116,-1.0,-4.0,0.0,1.0,2.0,12.0
117,2.0,-9.0,2.0,0.0,0.0,10.0
118,0.0,0.0,0.0,0.0,1.0,1.0
119,0.0,7.0,1.0,1.0,3.0,8.0
120,0.0,-46.0,0.0,0.0,1.0,9.0
121,0.0,-47.0,1.0,1.0,1.0,27.0
122,-1.0,0.0,0.0,1.0,4.0,21.0
123,-2.0,-4.0,2.0,4.0,5.0,71.0
124,0.0,3.0,0.0,0.0,1.0,71.0
125,0.0,-37.0,0.0,0.0,2.0,5.0
126,0.0,0.0,0.0,0.0,1.0,4.0
127,1.0,0.0,1.0,0.0,0.0,1.0
128,-1.0,25.0,1.0,2.0,8.0,38.0
129,-1.0,0.0,0.0,1.0,0.0,1.0
130,0.0,-28.0,1.0,1.0,1.0,15.0
131,0.0,-25.0,0.0,0.0,2.0,48.0
132,1.0,-143.0,2.0,1.0,3.0,22.0
133,0.0,34.0,0.0,0.0,2.0,7.0
134,1.0,-28.0,1.0,0.0,1.0,17.0
135,0.0,27.0,1.0,1.0,3.0,71.0
136,1.0,-45.0,1.0,0.0,1.0,8.0
137,0.0,24.0,0.0,0.0,1.0,15.0
138,0.0,2.0,1.0,1.0,1.0,5.0
139,0.0,0.0,0.0,0.0,1.0,1.0
140,0.0,-21.0,0.0,0.0,1.0,13.0
141,1.0,-25.0,1.0,0.0,1.0,32.0
142,0.0,44.0,1.0,1.0,5.0,24.0
143,1.0,0.0,1.0,0.0,0.0,2.0
144,-1.0,15.0,0.0,1.0,0.0,31.0
145,-1.0,17.0,0.0,1.0,0.0,3.0
146,1.0,22.0,1.0,0.0,2.0,40.0
147,1.0,0.0,1.0,0.0,0.0,3.0
148,2.0,-6.0,3.0,1.0,1.0,65.0
149,-1.0,13.0,1.0,2.0,1.0,29.0
150,1.0,34.0,1.0,0.0,1.0,46.0
151,0.0,0.0,0.0,0.0,1.0,5.0
152,0.0,0.0,0.0,0.0,1.0,1.0
153,2.0,49.0,2.0,0.0,0.0,7.0
154,0.0,-13.0,0.0,0.0,1.0,8.0
155,-1.0,10.0,0.0,1.0,0.0,5.0
156,-5.0,36.0,1.0,6.0,3.0,71.0
157,0.0,0.0,0.0,0.0,1.0,1.0
158,1.0,4.0,1.0,0.0,3.0,48.0
159,-2.0,-41.0,0.0,2.0,2.0,19.0
160,1.0,0.0,1.0,0.0,0.0,1.0
161,-2.0,6.0,1.0,3.0,6.0,71.0
162,0.0,-20.0,2.0,2.0,3.0,70.0
163,1.0,0.0,1.0,0.0,1.0,2.0
164,2.0,61.0,3.0,1.0,1.0,23.0
165,1.0,-10.0,1.0,0.0,0.0,9.0
166,1.0,-30.0,1.0,0.0,2.0,7.0
167,1.0,71.0,1.0,0.0,0.0,14.0
168,1.0,-2.0,1.0,0.0,1.0,46.0
169,1.0,-91.0,1.0,0.0,2.0,9.0
170,-1.0,115.0,1.0,2.0,4.0,49.0
171,-1.0,1.0,1.0,2.0,0.0,71.0
172,-1.0,0.0,0.0,1.0,0.0,2.0
173,0.0,-13.0,3.0,3.0,2.0,36.0
174,1.0,22.0,2.0,1.0,2.0,37.0
175,-3.0,-10.0,0.0,3.0,0.0,14.0
176,1.0,0.0,1.0,0.0,0.0,1.0
177,1.0,-98.0,1.0,0.0,0.0,28.0
178,-1.0,-9.0,0.0,1.0,1.0,5.0
179,0.0,25.0,0.0,0.0,1.0,22.0
180,-2.0,-209.0,0.0,2.0,4.0,19.0
181,1.0,20.0,2.0,1.0,1.0,20.0
182,1.0,42.0,1.0,0.0,0.0,3.0
183,-2.0,-12.0,0.0,2.0,0.0,43.0
184,-1.0,0.0,0.0,1.0,0.0,10.0
185,-1.0,-23.0,1.0,2.0,2.0,27.0
186,1.0,-11.0,1.0,0.0,1.0,5.0
187,0.0,0.0,0.0,0.0,1.0,1.0
188,0.0,0.0,0.0,0.0,1.0,3.0
189,-5.0,40.0,0.0,5.0,0.0,47.0
190,1.0,0.0,1.0,0.0,1.0,5.0
191,-1.0,28.0,0.0,1.0,2.0,71.0
192,-1.0,0.0,0.0,1.0,0.0,3.0
193,-2.0,-12.0,1.0,3.0,2.0,71.0
194,0.0,-23.0,0.0,0.0,1.0,5.0
195,0.0,35.0,1.0,1.0,1.0,71.0
196,0.0,-5.0,2.0,2.0,6.0,48.0
197,0.0,0.0,0.0,0.0,1.0,1.0
198,0.0,-46.0,1.0,1.0,1.0,9.0
199,1.0,-11.0,1.0,0.0,1.0,5.0
200,-1.0,-18.0,0.0,1.0,1.0,4.0
201,0.0,-10.0,0.0,0.0,1.0,2.0
202,0.0,0.0,0.0,0.0,1.0,5.0
203,0.0,0.0,0.0,0.0,1.0,3.0
204,-1.0,-10.0,2.0,3.0,4.0,42.0
205,1.0,0.0,1.0,0.0,0.0,1.0
206,-1.0,-32.0,0.0,1.0,2.0,55.0
207,-1.0,0.0,0.0,1.0,0.0,2.0
208,1.0,-26.0,1.0,0.0,1.0,58.0
209,-1.0,-11.0,0.0,1.0,2.0,28.0
210,2.0,-20.0,3.0,1.0,1.0,31.0
211,0.0,25.0,0.0,0.0,1.0,14.0
212,1.0,42.0,1.0,0.0,8.0,23.0
213,-1.0,-8.0,1.0,2.0,0.0,15.0
214,1.0,-24.0,2.0,1.0,3.0,71.0
215,0.0,-30.0,1.0,1.0,3.0,14.0
216,1.0,0.0,1.0,0.0,1.0,3.0
217,1.0,-19.0,1.0,0.0,1.0,59.0
218,-1.0,12.0,0.0,1.0,0.0,13.0
219,0.0,0.0,0.0,0.0,1.0,2.0
220,-1.0,9.0,1.0,2.0,5.0,71.0
221,-1.0,-32.0,0.0,1.0,0.0,6.0
222,-1.0,45.0,0.0,1.0,3.0,20.0
223,0.0,0.0,0.0,0.0,3.0,5.0
224,0.0,0.0,0.0,0.0,1.0,1.0
225,0.0,0.0,0.0,0.0,2.0,2.0
226,0.0,20.0,1.0,1.0,0.0,5.0
227,-1.0,-13.0,0.0,1.0,4.0,9.0
