,rewardSum,profit,guessedRightCnt,guessedWrongCnt,guessUpCnt,guessDownCnt,guessSkipCnt,guessCnt
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,-1.0,18.0,0.0,1.0,2.0,1.0,3.0,6.0
2,0.0,-29.0,0.0,0.0,8.0,8.0,8.0,24.0
3,0.0,12.0,1.0,1.0,2.0,2.0,8.0,12.0
4,2.0,33.0,2.0,0.0,14.0,8.0,39.0,61.0
5,1.0,28.0,1.0,0.0,13.0,14.0,21.0,48.0
6,0.0,8.0,0.0,0.0,2.0,4.0,3.0,9.0
7,4.0,19.0,4.0,0.0,22.0,25.0,24.0,71.0
8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
9,2.0,27.0,4.0,2.0,17.0,21.0,33.0,71.0
10,-3.0,-27.0,0.0,3.0,4.0,0.0,0.0,4.0
11,-2.0,18.0,0.0,2.0,1.0,5.0,5.0,11.0
12,1.0,14.0,3.0,2.0,4.0,4.0,7.0,15.0
13,0.0,-9.0,0.0,0.0,13.0,12.0,26.0,51.0
14,-2.0,60.0,3.0,5.0,19.0,21.0,31.0,71.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,-6.0,-24.0,1.0,7.0,19.0,14.0,27.0,60.0
17,0.0,42.0,1.0,1.0,5.0,1.0,4.0,10.0
18,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
19,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0
20,-1.0,44.0,0.0,1.0,1.0,1.0,0.0,2.0
21,1.0,-13.0,1.0,0.0,1.0,3.0,3.0,7.0
22,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
23,-1.0,9.0,0.0,1.0,3.0,2.0,2.0,7.0
24,2.0,13.0,2.0,0.0,5.0,4.0,8.0,17.0
25,-1.0,2.0,0.0,1.0,5.0,5.0,1.0,11.0
26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
27,0.0,32.0,1.0,1.0,1.0,2.0,3.0,6.0
28,3.0,-106.0,3.0,0.0,1.0,2.0,0.0,3.0
29,1.0,-36.0,1.0,0.0,2.0,2.0,6.0,10.0
30,-1.0,-20.0,0.0,1.0,3.0,4.0,6.0,13.0
31,1.0,-81.0,2.0,1.0,12.0,3.0,3.0,18.0
32,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0
33,-1.0,-19.0,0.0,1.0,5.0,3.0,8.0,16.0
34,-1.0,-21.0,0.0,1.0,6.0,1.0,4.0,11.0
35,0.0,-29.0,1.0,1.0,15.0,23.0,33.0,71.0
36,-1.0,41.0,0.0,1.0,14.0,16.0,30.0,60.0
37,1.0,14.0,3.0,2.0,18.0,16.0,37.0,71.0
38,3.0,121.0,6.0,3.0,18.0,20.0,33.0,71.0
39,1.0,0.0,2.0,1.0,3.0,8.0,12.0,23.0
40,1.0,7.0,1.0,0.0,7.0,7.0,10.0,24.0
41,-1.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0
42,-1.0,34.0,0.0,1.0,3.0,3.0,8.0,14.0
43,4.0,31.0,4.0,0.0,16.0,20.0,35.0,71.0
44,-1.0,-21.0,0.0,1.0,3.0,2.0,3.0,8.0
45,-1.0,0.0,0.0,1.0,1.0,2.0,5.0,8.0
46,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
48,-1.0,18.0,0.0,1.0,4.0,4.0,6.0,14.0
49,0.0,-13.0,1.0,1.0,7.0,1.0,9.0,17.0
50,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
51,0.0,-40.0,0.0,0.0,2.0,0.0,3.0,5.0
52,0.0,40.0,2.0,2.0,22.0,15.0,34.0,71.0
53,1.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0
54,2.0,6.0,2.0,0.0,19.0,18.0,34.0,71.0
55,-2.0,29.0,0.0,2.0,4.0,0.0,9.0,13.0
56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
57,-1.0,13.0,0.0,1.0,1.0,3.0,3.0,7.0
58,0.0,-11.0,1.0,1.0,1.0,3.0,3.0,7.0
59,1.0,24.0,1.0,0.0,2.0,2.0,2.0,6.0
60,0.0,-25.0,0.0,0.0,9.0,10.0,18.0,37.0
61,0.0,-14.0,0.0,0.0,4.0,3.0,13.0,20.0
62,1.0,-26.0,2.0,1.0,19.0,19.0,33.0,71.0
63,-1.0,-24.0,0.0,1.0,2.0,0.0,1.0,3.0
64,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
65,-1.0,-13.0,0.0,1.0,9.0,5.0,14.0,28.0
66,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
67,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
68,-1.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0
69,2.0,9.0,3.0,1.0,6.0,6.0,14.0,26.0
70,0.0,5.0,0.0,0.0,3.0,5.0,8.0,16.0
71,1.0,-4.0,1.0,0.0,7.0,4.0,11.0,22.0
72,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0
73,-1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0
