,percentChange
0,-0.49
1,-0.0
2,0.24
3,0.44
4,-0.2
5,0.53
6,0.14
7,-0.1
8,0.09
9,-0.33
10,0.05
11,0.26
12,-0.01
13,-0.11
14,0.1
15,0.46
16,0.53
17,0.35
18,0.24
19,0.26
20,-0.19
21,0.3
22,0.2
23,-0.33
24,-0.16
25,0.11
26,-0.16
27,0.06
28,0.2
29,-0.19
30,0.75
31,0.05
32,-0.15
33,-0.69
34,-0.03
35,0.48
36,0.16
37,-0.2
38,0.23
39,0.26
40,0.67
41,-0.19
42,-0.69
43,0.31
44,0.23
45,-0.39
46,0.53
47,0.49
48,0.16
49,-0.17
50,-0.08
51,0.84
52,0.01
53,-0.02
54,0.22
55,0.47
56,-0.44
57,0.35
58,0.46
59,1.26
60,-0.18
61,0.06
62,-0.29
63,-0.24
64,-0.09
65,0.23
66,-1.59
67,0.46
68,0.13
69,0.04
70,0.06
71,0.11
72,-0.79
73,0.23
74,-1.59
75,0.07
76,-0.05
77,-0.06
78,0.04
79,0.16
80,-0.33
81,0.15
82,-0.08
83,2.42
84,0.09
85,0.29
86,0.08
87,0.87
88,0.2
89,-0.74
90,-0.2
91,0.02
92,0.42
93,0.12
94,0.85
95,0.16
96,0.05
97,-0.07
98,-0.02
99,-0.33
100,0.15
101,-0.55
102,0.27
103,-0.02
104,0.02
105,-0.43
106,-0.26
107,0.52
108,-0.25
109,-0.74
110,0.2
111,0.02
112,0.24
113,0.4
114,1.0
115,0.45
116,0.12
117,-0.06
118,1.2
119,0.33
120,-0.69
121,0.29
122,-0.96
123,-0.14
124,0.51
125,0.45
126,-0.45
127,0.07
128,-0.38
129,-0.14
130,-0.1
131,0.45
132,-0.36
133,-0.12
134,0.21
135,-0.09
136,0.52
137,0.04
138,0.12
139,-0.18
140,0.45
141,-0.23
142,0.11
143,-0.09
144,2.42
145,0.84
146,-0.32
147,0.84
148,0.14
149,-0.14
150,-1.02
151,-0.07
152,0.55
153,-0.29
154,-0.19
155,-0.01
156,0.07
157,2.22
158,0.59
159,-1.96
160,-0.13
161,-0.58
162,0.11
163,-0.03
164,-0.07
165,0.11
166,-0.1
167,0.16
168,0.55
169,5.36
170,-0.09
171,0.18
172,-3.14
173,-0.61
174,0.53
175,0.9
176,0.85
177,0.18
178,0.01
179,0.42
180,0.63
181,-0.17
182,-0.09
183,0.4
184,0.56
185,0.46
186,-0.14
187,0.17
188,0.06
189,-0.01
190,-0.64
191,-0.17
192,0.59
193,-0.13
194,0.24
195,-0.11
196,0.12
197,0.62
198,0.2
199,0.44
200,-1.96
201,0.33
202,-0.07
203,1.32
204,-0.47
205,0.15
206,-0.13
207,-0.55
208,0.21
209,-0.1
210,0.05
211,-0.04
212,0.35
213,-0.07
214,-0.25
215,0.24
216,-0.17
217,-0.15
218,0.43
219,0.24
220,0.16
221,0.4
222,0.4
223,0.46
224,-0.11
225,-0.45
226,0.48
227,0.44
228,-0.06
229,0.02
230,-0.05
231,-0.49
232,-0.55
233,0.19
234,0.17
235,0.01
236,-2.31
237,0.02
238,-0.1
239,-0.02
240,-0.09
241,-0.27
242,-0.09
243,-0.48
244,-0.47
245,0.23
246,0.66
247,0.61
248,-0.21
249,0.2
250,0.29
251,-0.16
252,1.22
253,1.62
254,0.2
255,0.11
256,-0.12
257,-0.03
258,-0.16
259,0.14
260,0.16
261,0.66
262,-0.33
263,0.07
264,-0.11
265,0.49
266,-0.48
267,0.02
268,0.15
269,-0.09
270,0.4
271,0.07
272,-0.32
273,-0.14
274,0.14
275,-0.36
276,-1.84
277,0.02
278,-0.06
279,-0.06
280,0.19
281,-0.09
282,-0.49
283,1.0
284,0.38
285,1.11
286,0.03
287,-0.79
288,0.19
289,-0.17
290,-0.99
291,-0.14
292,0.17
293,-0.21
294,0.03
295,-0.14
296,0.15
297,-0.39
298,-0.37
299,-0.12
300,-0.23
301,-0.11
302,-0.09
303,-0.39
304,-0.3
305,-1.96
306,0.72
307,0.33
308,-0.0
309,0.06
310,-0.17
311,-0.11
312,-0.24
313,-0.55
314,0.22
315,-0.2
316,-0.36
317,-0.27
318,0.25
319,0.02
320,1.0
321,-0.4
322,0.04
323,0.24
324,0.13
325,-0.11
326,0.08
327,0.13
328,-0.36
329,-0.26
330,0.52
331,-0.26
332,-0.06
333,0.4
334,0.94
335,0.0
336,-0.53
337,-0.09
338,0.0
339,-0.14
340,0.1
341,-0.04
342,-0.03
343,-0.39
344,-0.26
345,0.14
346,0.2
347,-0.36
348,-0.9
349,0.21
350,0.23
351,0.06
352,0.04
353,-0.06
354,0.16
355,-0.1
356,-2.31
357,0.14
358,0.29
359,0.29
360,-0.25
361,-0.11
362,-0.05
363,-0.09
364,0.33
365,0.04
366,0.09
367,0.13
368,-0.06
